from,to,hundredth,thousandth
1302,3101,1,0
1302,3201,2,0
1302,3202,0,0
1302,3203,2,0
1302,3204,0,0
1302,3205,2,0
1302,3206,3,0
1302,3207,0,0
1302,3208,3,0
1302,3209,1,0
1302,3210,3,0
1302,3211,0,0
1302,3212,0,0
1302,3213,0,0
1302,3301,3,0
1302,3302,0,0
1302,3303,13,1
1302,3304,0,0
1302,3305,0,0
1302,3306,2,0
1302,3307,3,0
1302,3308,0,0
1302,3309,0,0
1302,3310,0,0
1302,3311,5,1
1302,3401,5,1
1302,3402,0,0
1302,3403,2,0
1302,3404,0,0
1302,3405,1,0
1302,3406,1,0
1302,3407,0,0
1302,3408,0,0
1302,3410,0,0
1302,3411,0,0
1302,3412,12,1
1302,3413,2,0
1302,3415,0,0
1302,3416,1,0
1302,3417,0,0
1302,3418,2,0
1302,3501,0,0
1302,3502,3,0
1302,3503,3,0
1302,3504,0,0
1302,3505,0,0
1302,3506,0,0
1302,3507,0,0
1302,3508,1,0
1302,3509,0,0
1302,3601,1,0
1302,3602,0,0
1302,3603,0,0
1302,3604,2,0
1302,3605,0,0
1302,3606,0,0
1302,3607,0,0
1302,3608,0,0
1302,3609,6,1
1302,3610,0,0
1302,3611,0,0
1302,3701,4,0
1302,3702,1,0
1302,3703,2,0
1302,3704,0,0
1302,3705,0,0
1302,3706,3,0
1302,3707,7,1
1302,3708,0,0
1302,3709,14,1
1302,3710,1,0
1302,3711,0,0
1302,3713,0,0
1302,3714,9,1
1302,3715,1,0
1302,3716,1,0
1302,3717,3,0
1302,4101,3,0
1302,4102,0,0
1302,4103,2,0
1302,4104,2,0
1302,4105,0,0
1302,4106,0,0
1302,4107,2,0
1302,4108,0,0
1302,4109,1,0
1302,4110,0,0
1302,4111,0,0
1302,4112,0,0
1302,4113,2,0
1302,4114,1,0
1302,4115,10,1
1302,4116,12,1
1302,4117,16,2
1302,4201,1,0
1302,4202,0,0
1302,4203,0,0
1302,4205,0,0
1302,4206,3,0
1302,4207,0,0
1302,4208,1,0
1302,4209,3,0
1302,4210,0,0
1302,4211,3,0
1302,4212,1,0
1302,4213,1,0
1302,4228,4,0
1302,4290,2,0
1302,4301,2,0
1302,4302,0,0
1302,4303,4,0
1302,4304,1,0
1302,4305,0,0
1302,4306,0,0
1302,4307,1,0
1302,4308,0,0
1302,4309,0,0
1302,4310,1,0
1302,4311,0,0
1302,4312,0,0
1302,4313,0,0
1302,4331,1,0
1302,4401,1,0
1302,4402,0,0
1302,4403,0,0
1302,4404,0,0
1302,4405,0,0
1302,4406,0,0
1302,4407,0,0
1302,4408,1,0
1302,4409,0,0
1302,4412,0,0
1302,4413,0,0
1302,4414,1,0
1302,4415,0,0
1302,4416,0,0
1302,4417,2,0
1302,4418,0,0
1302,4419,0,0
1302,4420,0,0
1302,4451,1,0
1302,4452,0,0
1302,4453,0,0
1302,4501,5,1
1302,4502,9,1
1302,4503,1,0
1302,4504,0,0
1302,4505,0,0
1302,4506,0,0
1302,4507,0,0
1302,4508,0,0
1302,4509,0,0
1302,4510,0,0
1302,4511,0,0
1302,4512,7,1
1302,4513,0,0
1302,4514,7,1
1302,4601,0,0
1302,4602,0,0
1302,4690,0,0
1302,5000,2,0
1302,5101,8,1
1302,5103,1,0
1302,5104,0,0
1302,5105,1,0
1302,5106,4,0
1302,5107,8,1
1302,5108,3,0
1302,5109,0,0
1302,5110,0,0
1302,5111,1,0
1302,5113,2,0
1302,5114,3,0
1302,5115,6,1
1302,5116,2,0
1302,5117,2,0
1302,5118,0,0
1302,5119,4,0
1302,5120,5,1
1302,5132,0,0
1302,5133,0,0
1302,5134,1,0
1302,5201,6,1
1302,5202,1,0
1302,5203,1,0
1302,5204,1,0
1302,5205,3,0
1302,5206,0,0
1302,5223,1,0
1302,5226,4,0
1302,5227,3,0
1302,5301,2,0
1302,5303,0,0
1302,5304,0,0
1302,5305,0,0
1302,5306,0,0
1302,5307,0,0
1302,5308,0,0
1302,5309,0,0
1302,5323,0,0
1302,5325,0,0
1302,5326,0,0
1302,5328,0,0
1302,5329,1,0
1302,5331,0,0
1302,5333,0,0
1302,5334,0,0
1302,5401,3,0
1302,5402,0,0
1302,5403,0,0
1302,5404,0,0
1302,5405,1,0
1302,5406,0,0
1302,5425,0,0
1302,6101,3,0
1302,6102,0,0
1302,6103,2,0
1302,6104,1,0
1302,6105,0,0
1302,6106,1,0
1302,6107,0,0
1302,6108,2,0
1302,6109,3,0
1302,6110,0,0
1302,6201,1,0
1302,6202,0,0
1302,6203,0,0
1302,6204,0,0
1302,6205,2,0
1302,6206,0,0
1302,6207,1,0
1302,6208,0,0
1302,6209,2,0
1302,6210,1,0
1302,6211,1,0
1302,6212,0,0
1302,6229,0,0
1302,6230,0,0
1302,6301,5,1
1302,6302,4,0
1302,6322,1,0
1302,6323,0,0
1302,6325,0,0
1302,6326,0,0
1302,6327,0,0
1302,6328,1,0
1302,6401,0,0
1302,6402,2,0
1302,6403,0,0
1302,6404,3,0
1302,6405,1,0
1302,6501,0,0
1302,6502,0,0
1302,6504,0,0
1302,6505,0,0
1302,6523,3,0
1302,6527,0,0
1302,6528,0,0
1302,6529,0,0
1302,6530,0,0
1302,6531,0,0
1302,6532,0,0
1302,6540,0,0
1302,6542,0,0
1302,6543,0,0
1302,6590,0,0
1303,90,0,0
1303,1101,14,1
1303,1201,15,1
1303,1301,53,5
1303,1302,82,8
1303,1303,24808,2481
1303,1304,29,3
1303,1305,14,1
1303,1306,46,5
1303,1307,13,1
1303,1308,36,4
1303,1309,28,3
1303,1310,14,1
1303,1311,14,1
1303,1401,5,0
1303,1402,6,1
1303,1403,2,0
1303,1404,2,0
1303,1405,0,0
1303,1406,0,0
1303,1407,4,0
1303,1408,1,0
1303,1409,4,0
1303,1410,2,0
1303,1411,0,0
1303,1501,3,0
1303,1502,7,1
1303,1503,0,0
1303,1504,1,0
1303,1505,3,0
1303,1506,0,0
1303,1507,31,3
1303,1508,1,0
1303,1509,0,0
1303,1522,3,0
1303,1525,0,0
